id;cie10;nombre;descripcion;fechaRegistro;estadoReg;edadFin;edadIni;flagSivigila;habilitadoMipres
4;A000;Colera debido a Vibrio cholerae 01, biotipo cholerae;Colera debido a Vibrio cholerae 01, biotipo cholerae;19/07/2024;A;1;100;A;1
5;A001;Colera debido a Vibrio cholerae 01, biotipo el Tor;Colera debido a Vibrio cholerae 01, biotipo el Tor;19/07/2024;A;1;100;A;1
6;A009;Colera, no especificado;Colera, no especificado;19/07/2024;A;1;100;A;1
7;A010;Fiebre tifoidea;Fiebre tifoidea;19/07/2024;A;1;100;A;1
8;A011;Fiebre paratifoidea A;Fiebre paratifoidea A;19/07/2024;A;1;100;A;1
9;A012;Fiebre paratifoidea B;Fiebre paratifoidea B;19/07/2024;A;1;100;A;1
10;A013;Fiebre paratifoidea C;Fiebre paratifoidea C;19/07/2024;A;1;100;A;1
11;A014;Fiebre paratifoidea, no especificada;Fiebre paratifoidea, no especificada;19/07/2024;A;1;100;A;1
12;A020;Enteritis debida a Salmonella;Enteritis debida a Salmonella;19/07/2024;A;1;100;A;1
13;A021;Sepsis debida a Salmonella;Sepsis debida a Salmonella;19/07/2024;A;1;100;A;1
14;A022;Infecciones localizadas debidas a Salmonella;Infecciones localizadas debidas a Salmonella;19/07/2024;A;1;100;A;1
15;A028;Otras infecciones especificadas como debidas a Salmonella;Otras infecciones especificadas como debidas a Salmonella;19/07/2024;A;1;100;A;1
16;A029;Infeccion debida a Salmonella, no especificada;Infeccion debida a Salmonella, no especificada;19/07/2024;A;1;100;A;1
17;A030;Shigelosis debida a Shigella dysenteriae;Shigelosis debida a Shigella dysenteriae;19/07/2024;A;1;100;A;1
18;A031;Shigelosis debida a Shigella flexneri;Shigelosis debida a Shigella flexneri;19/07/2024;A;1;100;A;1
19;A032;Shigelosis debida a Shigella boydii;Shigelosis debida a Shigella boydii;19/07/2024;A;1;100;A;1
20;A033;Shigelosis debida a Shigella sonnei;Shigelosis debida a Shigella sonnei;19/07/2024;A;1;100;A;1
21;A038;Otras shigelosis;Otras shigelosis;19/07/2024;A;1;100;A;1
22;A039;Shigelosis de tipo no especificado;Shigelosis de tipo no especificado;19/07/2024;A;1;100;A;1
23;A040;Infeccion debida a Escherichia coli enteropatogena;Infeccion debida a Escherichia coli enteropatogena;19/07/2024;A;1;100;A;1
24;A041;Infeccion debida a Escherichia coli enterotoxigena;Infeccion debida a Escherichia coli enterotoxigena;19/07/2024;A;1;100;A;1
25;A042;Infeccion debida a Escherichia coli enteroinvasiva;Infeccion debida a Escherichia coli enteroinvasiva;19/07/2024;A;1;100;A;1
26;A043;Infeccion debida a Escherichia coli enterohemorragica;Infeccion debida a Escherichia coli enterohemorragica;19/07/2024;A;1;100;A;1
