"codreg_cups";"desc_cups"
"872510";"COLECISTOGRAFIA ORAL"
"886014";"MORFOMETRIA VERTEBRAL"
"881211";"ECOGRAFIA DE TORAX (PERICARDIO O PLEURA)"
"872111";"RX PORTATIL"
"511101";"COLANGIOGRAFIA POR LAPAROSCOPIA "
"878941";"LINFANGIOGRAFIA NCOC +"
"873006";"RADIOGRAFIA PARA DETECTAR EDAD OSEA [CARPOGRAMA] +"
"877510";"RADIOGRAF™A PELVICA DE CONTRASTE POR CONTRASTE OPACO +"
"870302";"POLITOMOGRAFIA DE CONDUCTOS AUDITIVOS INTERNOS"
"870303";"POLITOMOGRAFIA DE ARTICULACIONES TEMPOROMANDIBULARES"
"870305";"TOMOGRAFIA LINEAL DE MAXILAR SUPERIOR"
"870306";"TOMOGRAFIA LINEAL DE MAXILAR INFERIOR"
"870310";"TOMOGRAFIA FUNCIONAL DE LARINGE"
"871401";"POLITOMOGRAFIA DE TORAX"
"871402";"TOMOGRAFIA DE TORAX EN DOS PROYECCIONES"
"871403";"TOMOGRAFIA DE MEDIASTINO Y TRAQUEA"
"871404";"TOMOGRAFIA LINEAL DE COLUMNA (CERVICAL, TORACICA O LUMBAR)"
"871410";"TOMOGRAFIA DE TORAX (AP)"
"872530";"COLECISTOGRAFIA-TOMOGRAFIA"
"873710";"TOMOGRAFIA OSTEOARTICULAR EN MIEMBRO SUPERIOR"
"873720";"TOMOGRAFIA OSTEOARTICULAR EN MIEMBRO INFERIOR"
"883410";"ANGIORRESONANCIA DE ABDOMEN SIMPLE +"
"883411";"ANGIORRESONANCIA DE ABDOMEN CON CONTRASTE"
"883450";"ANGIORRESONANCIA DE PELVIS SIMPLE +"
"883451";"ANGIORRESONANCIA DE PELVIS CON CONTRASTE"
"883540";"ANGIORRESONANCIA DE LA EXTREMIDAD INFERIOR SIMPLE +"
"883551";"ANGIORRESONANCIA DE MIEMBRO SUPERIOR CON CONTRASTE"
"883306";"RESONANCIA NUCLEAR MAGNETICA DE TORAX Y APARATO CARDIO-VASCULAR"
"883541";"ANGIORRESONANCIA DE LA EXTREMIDAD INFERIOR CON CONTRASTE"
"883550";"ANGIORRESONANCIA DE MIEMBRO SUPERIOR SIMPLE +"
"883900";"RESONANCIA NUCLEAR MAGNETICA DE SITIO NO ESPECIFICADO SOD +"
"883302";"RESONANCIA NUCLEAR MAGNETICA DE TORAX CON PROYECCIONES DECUBITO"
"883304";"RESONANCIA NUCLEAR MAGNETICA DE TORAX PROYECCIONES PA Y LATERAL,"
"883323";"RESONANCIA MAGNETICA DE CORAZON CON VALORACION FUNCIONAL (PERFUSION CORONARIA CON ESTRES FISICO O FARMACOLOGICO)"
"878904";"LINFANGIOGRAFIA"
"881151";"ECOGRAFIA DE GLANGLIOS CERVICALES (MAPEO)"
"881230";"ECOGRAFIA DIAGNOSTICA CORAZON"
"872580";"FLUOROSCOPIA GUIA PARA PROCEDIMIENTO QUIRURGICO O INTERVENCIONIS"
"872780";"FLUOROSCOPIA GUIA PARA LITOTRIPSIA O DISOLUCION DE CALCULOS RENA"
"877261";"VENOGRAFIA SUPRAHEPATICA CON EVALUACION HEMODINAMICA"
"877262";"VENOGRAFIA ABDOMINAL: VENA SUPRAHEPATICA, EN CU¾A O LIBRE, SIN E"
