"codreg_cups";"desc_cups"
"922305";"TELETERAPIA UTILIZANDO COBALTO CAMPO UNICO EN ENCEFALO, CARA, CU"
"922306";"TELETERAPIA UTILIZANDO COBALTO CAMPO UNICO EN ENCEFALO, CARA, CU"
"922307";"TELETERAPIA UTILIZANDO COBALTO CAMPO UNICO EN ENCEFALO, CARA, CU"
"922308";"TELETERAPIA UTILIZANDO COBALTO CAMPO UNICO EN ENCEFALO, CARA, CU"
"922309";"TELETERAPIA UTILIZANDO COBALTO PROFILAXIS EN ENCEFALO, PALEACION"
"922310";"TELETERAPIA UTILIZANDO COBALTO PROFILAXIS EN ENCEFALO, PALEACION"
"922311";"TELETERAPIA UTILIZANDO COBALTO PROFILAXIS EN ENCEFALO, PALEACION"
"922312";"TELETERAPIA UTILIZANDO COBALTO PROFILAXIS EN ENCEFALO, PALEACION"
"922313";"TELETERAPIA UTILIZANDO COBALTO PRE O POSOPERATORIO GANGLIONAR DE"
"922314";"TELETERAPIA UTILIZANDO COBALTO PRE O POSOPERATORIO GANGLIONAR DE"
"922315";"TELETERAPIA UTILIZANDO COBALTO PRE O POSOPERATORIO GANGLIONAR DE"
"922316";"TELETERAPIA UTILIZANDO COBALTO PRE O POSOPERATORIO GANGLIONAR DE"
"922317";"TELETERAPIA UTILIZANDO COBALTO EN CARA, ENCEFALO, CUELLO, MEDIAS"
"922318";"TELETERAPIA UTILIZANDO COBALTO EN CARA, ENCEFALO, CUELLO, MEDIAS"
"922319";"TELETERAPIA UTILIZANDO COBALTO EN CARA, ENCEFALO, CUELLO, MEDIAS"
"922320";"TELETERAPIA UTILIZANDO COBALTO EN CARA, ENCEFALO, CUELLO, MEDIAS"
"922401";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PALEACION EN UNA"
"922800";"TERAPIA CON RADIOISOTOPOS SOD "
"922402";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PALEACION EN UNA"
"922403";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PALEACION EN UNA"
"922404";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PALEACION EN UNA"
"922405";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, CAMPO UNICO EN EN"
"922406";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, CAMPO UNICO EN EN"
"922407";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, CAMPO UNICO EN EN"
"922408";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, CAMPO UNICO EN EN"
"922409";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PROFILAXIS EN ENC"
"922410";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PROFILAXIS EN ENC"
"922411";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PROFILAXIS EN ENC"
"922412";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PROFILAXIS EN ENC"
"922413";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV,PRE O POP GANGLION"
"922414";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PRE O POP GANGLIO"
"922415";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PRE O POP GANGLIO"
"922416";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV, PRE O POP GANGLIO"
"922417";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV EN CARA, ENCEFALO,"
"922418";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV EN CARA, ENCEFALO,"
"922419";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV EN CARA, ENCEFALO,"
"922420";"TELETERAPIA CON ACELERADOR LINEAL HASTA 10 MV EN CARA, ENCEFALO,"
"922421";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PALEACION EN U"
"922422";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PALEACION EN U"
"922423";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PALEACION EN U"
"922424";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PALEACION EN U"
"922425";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, CAMPO UNICO EN"
"922426";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, CAMPO UNICO EN"
"922427";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, CAMPO UNICO EN"
"922428";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, CAMPO UNICO EN"
"922429";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PROFILAXIS EN"
"922430";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PROFILAXIS EN"
"922431";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PROFILAXIS EN"
"922432";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PROFILAXIS EN"
"922433";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PRE O POP GANG"
"922434";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PRE O POP GANG"
"922435";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PRE O POP GANG"
"922436";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV, PRE O POP GANG"
"922437";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV EN CARA, ENCEFA"
"922438";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV EN CARA, ENCEFA"
"922439";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV EN CARA, ENCEFA"
"922440";"TELETERAPIA CON ACELERADOR LINEAL MAYOR DE 10 MV EN CARA, ENCEFA"
"922501";"TELETERAPIA CON ELECTRONES CAMPO UNICO"
"922502";"TELETERAPIA CON ELECTRONES CAMPOS MULTIPLES"
"922503";"TELETERAPIA CON ELECTRONES COMBINADA"
"922601";"BRAQUITERAPIA INTERSTICIAL CON ALTA TASA DE DOSIS"
"922610";"BRAQUITERAPIA METABOLICA NCOC +"
"922690";"BRAQUITERAPIA: IMPLANTES PERMANENTES NCOC "
"931100";"MODALIDADES CINETICAS DE TERAPIA SOD +"
"931500";"MODALIDADES ELECTRICAS Y ELECTROMAGNETICAS DE TERAPIA SOD +"
"937200";"TERAPIA FONOAUDIOLOGICA PARA DESORDENES DEL HABLA, VOZ, FLUIDEZ,"
"937500";"OTRO ADIESTRAMIENTO Y TERAPIA DEL HABLA SOD"
"938300";"TERAPIA OCUPACIONAL INTEGRAL SOD "
"939600";"OTRA TERAPIA CON OXIGENO (EFECTO CITOREDUCTIVO, OXIGENADORES,"
"954303";"MEDICION DEL UMBRAL DEL REFLEJO ESTAPEDIAL (IPSILATERAL Y CONTRA"
"976200";"EXTRACCION DE TUBO DE URETEROSTOMIA Y DE CATETER URETERAL SOD"
"992510";"INFUSION DE QUIMIOTERAPIA INTRARTERIAL (REGIONAL) O EN CAVIDADES"
"999100";"ACUPUNTURA Y TERAPIA NEURAL SOD +"
"991201";"INMUNOTERAPIA (HIPOSENSIBILIZACION CON ANTIGENOS)"
"877131";"ARTERIOGRAFIA SUPRARENAL BILATERAL SELECTIVA"
"877132";"ARTERIOGRAFIA SUPRARRENAL UNILATERAL SELECTIVA"
"877221";"FLEBOGRAF™A RENAL SELECTIVA (UNILATERAL O BILATERAL) +"
"877231";"FLEBOGRAF™A ABDOMINAL SUPRARRENAL SELECTIVA (UNILATERAL O BILATE"
"922100";"TELETERAPIA ORTOVOLTAJE MENOR DE 120 KV SOD +"
"922200";"TELETERAPIA ORTOVOLTAJE MAYOR DE 120 KV SOD +"
"922301";"TELETERAPIA UTILIZANDO COBALTO EN UNA SOLA DOSIS Y ENTIDADES BEN"
"922302";"TELETERAPIA UTILIZANDO COBALTO EN UNA SOLA DOSIS Y ENTIDADES BEN"
"922303";"TELETERAPIA UTILIZANDO COBALTO EN UNA SOLA DOSIS Y ENTIDADES BEN"
"922304";"TELETERAPIA UTILIZANDO COBALTO EN UNA SOLA DOSIS Y ENTIDADES BEN"
"549100";"PARACENTESIS TERAPEUTICA (PARA DESCOMPRENSION O DRENAJE) SOD +"
"933600";"TERAPIA DE REHABILITACION CARDIACA SOD +"
"878211";"ARTERIOGRAFIA PERIFERICA DE MIEMBROS INFERIORES BILATERAL CON AO"
"819200";"INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE ARTICULACION O LIGA"
"952301";"POTENCIALES EVOCADOS VISUALES (UNI O BILATERALES)"
"992503";"MONOQUIMIOTERAPIA (CICLO DE TRATAMIENTO)"
"998302";"FOTOFERESIS TERAPEUTICA [FOTOQUIMIOTERAPIA] (PSORIASIS, VITILIGO, LINFOMAS)"
"877121";"ARTERIOGRAFIA RENAL BILATERAL SELECTIVA CON AORTOGRAMA ABDOMINAL"
"877122";"ARTERIOGRAFIA RENAL UNILATERAL SELECTIVA CON AORTOGRAMA ABDOMINA"
"033101";"PUNCION LUMBAR (DIAGNOSTICA O TERAPEUTICA)"
"169003";"INYECCION SUBCONJUNTIVAL DE SUSTANCIA TERAPEUTICA"
"355102";"REPARACION DE DEFECTO DE TABIQUE INTERAURICULAR VIA PERCUTANEA (ENDOVASCULAR)"
"360201";"ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) CON INFUSION DE SUSTANCIA TERAPEUTICA UNO O DOS VASOS"
"360202";"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA SIMPLE CON INFUSION DE SUSTANCIA TERAPEUTICA MAS DE DOS VASOS"
"372102";"CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON CON PRUEBA DE SUSTANCIA TERAPEUTICA"
"389900";"FLEBOTOMIA TERAPEUTICA SOD"
"542802";"PARACENTESIS ABDOMINAL TERAPEUTICA VIA PERCUTANEA"
"542803";"PARACENTESIS ABDOMINAL TERAPEUTICA VIA LAPAROSCOPICA"
"819201";"INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE LA ARTICULACION O EL LIGAMENTO"
"829400";"INYECCION  DE SUSTANCIA TERAPEUTICA DENTRO DE BURSA DE MANO SOD"
"829500";"INYECCION  DE SUSTANCIA TERAPEUTICA DENTRO DE TENDON DE MANO SOD"
"874111";"ARTERIOGRAFIA DE CAROTIDA EXTERNA BILATERAL SELECTIVA EXTRACRANENANA"
"874112";"ARTERIOGRAFIA DE CAROTIDA EXTERNA BILATERAL SELECTIVA INTRACRANEANA"
"874113";"ARTERIOGRAFIA DE CAROTIDA EXTERNA UNILATERAL SELECTIVA EXTRACRANEANA"
"874114";"ARTERIOGRAFIA DE CAROTIDA EXTERNA UNILATERAL SELECTIVA INTRACRANEANA"
"874121";"ARTERIOGRAFIA DE CAROTIDA INTERNA BILATERAL SELECTIVA EXTRACRANENANA"
"874122";"ARTERIOGRAFIA DE CAROTIDA INTERNA BILATERAL SELECTIVA INTRACRANENANA"
"874123";"ARTERIOGRAFIA DE CAROTIDA INTERNA UNILATERAL SELECTIVA EXTRACRANEANA"
"874124";"ARTERIOGRAFIA DE CAROTIDA INTERNA UNILATERAL SELECTIVA INTRACRANEANA"
"874125";"ARTERIOGRAFIA DE CAROTIDA BILATERAL SELECTIVA EXTRACRANEANA CON AORTOGRAMA DE CAYADO"
"874133";"ARTERIOGRAFIA VERTEBRAL BILATERAL SELECTIVA CON CAROTIDAS (PANANGIOGRAFIA)"
"874134";"ARTERIOGRAFIA VERTEBRAL BILATERAL SELECTIVA EXTRACRANEANA CON AORTOGRAMA DE CAYADO"
"876131";"ARTERIOGRAFIA PULMONAR BILATERAL CON CATETERISMO DERECHO"
"876132";"ARTERIOGRAFIA PULMONAR BILATERAL SELECTIVA"
"876136";"ARTERIOGRAFIA PULMONAR UNILATERAL SELECTIVA"
"878111";"ARTERIOGRAFIA PERIFERICA DE MIEMBROS SUPERIORES BILATERAL CON AORTOGRAMA TORACICO"
"893102";"FOTOGRAFIA CLINICA EXTRAORAL, INTRAORAL, FRONTAL O LATERAL"
"922201";"TELETERAPIA CON ORTOVOLTAJE "
"922321";"TELETERAPIA CON COBALTO (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) "
"922322";"TELETERAPIA CON COBALTO (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL)"
"922441";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) TECNICA RADIOTERAPIA CONVENCIONAL"
"922442";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) TECNICA RADIOTERAPIA CONVENCIONAL"
"922443";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) TECNICA CONFORMACIONAL [3D - CRT]"
"922444";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) TECNICA RADIOTERAPIA DE INTENSIDAD MODULADA [IMRT]"
"922445";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) TECNICA RADIOTERAPIA GUIADA POR IMAGENES [IGRT]"
"922446";"TELETERAPIA CON ACELERADOR LINEAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) TECNICA RADIOTERAPIA - ARCOTERAPIA DE MODULACION VOLUMETRICA [VMAT]"
"922504";"TELETERAPIA CON ACELERADOR LINEAL DE ELECTRONES (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL)"
"922505";"TELETERAPIA CON ACELERADOR LINEAL DE ELECTRONES (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL)"
"922506";"RADIOTERAPIA INTRAOPERATORIA"
"922602";"BRAQUITERAPIA INTERSTICIAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON BAJA TASA DE DOSIS"
