103797-2;ROACCUTAN CAPSULAS X 20 MG;CAJA POR 20 CAPSULAS EN BLISTER DE ALUMINIO  ALUMINIO.;D10AD04;ISOTETRINOINA;INVIMA 2017M-008120-R3;ISOTRETINOINA;ORAL
104739-1;VALCOTE  500 MG TABLETAS DE LIBERACION RETARDADA;CAJA CON FRASCO POR 30 TABLETAS CUBIERTAS;N03AG01;VALPROICO aACIDO;INVIMA 2016M-007660-R3;DIVALPROATO SODICO EQUIVALENTE A 500MG DE ACIDO VALPROICO;ORAL
106407-1;NORIC TABLETAS;ESTUCHE DE CARTON X 30TABLETAS EN BLISTER X 10TAB;J01FA01;ERITROMICINA;M-007339;;ORAL
10776-1;VITAMINA B COMPLEJO.;FRASCO DE PVC (COLOR aMBAR) POR 120 ML.;A11AA03;MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES;INVIMA M-010512;NICOTINAMIDA VITAMINA B1 (TIAMINA CLORHIDRATO) VITAMINA B2 (RIBOFLAVINA 5 FOSFATO) VITAMINA B6 (PIRIDOXINA CLORHIDRATO);ORAL
108316-1;ASPEGIC 500 MG;CAJA X 20 SOBRES X 500 CADA UNO;N02BA01;ACETILSALICILICO ACIDO;INVIMA M-005563;ACETILSALICILATO DE DL-LISINA EQUIVALENTE A 500,0 MG DE ACIDO ACETILSALICILICO;ORAL
108812-4;DEBRIDAT SUSPENSION;FRASCO DE VIDRIO aMBAR TIPO III, CON POLVO PARA RECONSTITUIR A 120 ML.;A03AA05;TRIMEBUTINA;INVIMA 2005 M-008649-R2;TRIMEBUTINA BASE MICRONIZADA;ORAL
111057-1;ALCAINE 0.5% SOLUCION OFTALMICA;FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD BLANCO POR 15 ML.;S01HA04;PROXIMETACAINA;INVIMA 2016M-07585-R3;CLORHIDRATO DE PROPARACAINA;OFT LMICA
11416-1;HALOPERIDOL 10 MG TABLETAS RECUBIERTAS;CAJA POR 10 TABLETAS EN BLISTER PVC TRANSPARENTEALUMINIO.;N05AD01;HALOPERIDOL;INVIMA 2016M-002423-R2;HALOPERIDOL;ORAL
11416-2;HALOPERIDOL 10 MG TABLETAS RECUBIERTAS;CAJA POR 20 TABLETAS RECUBIERTAS EN BLISTER PVC TRANSPARENTEALUMINIO POR 10 TABLETAS CADA UNO.;N05AD01;HALOPERIDOL;INVIMA 2016M-002423-R2;HALOPERIDOL;ORAL
11417-1;HALOPERIDOL SOLUCIoN INYECTABLE 5 MGML;Caja de carton con  una ampolla de vidrio I color ambar x 1 mL  en  nido de de cartulina;N05AD01;HALOPERIDOL;INVIMA 2016M-003436-R2;HALOPERIDOL;INTRAMUSCULAR
11519-2;MONONITRATO DE ISORBIDE TABLETAS;CAJA POR 30 TABLETAS;C01DA14;ISOSORBIDE MONONITRATO;INVIMA M-004672;MONONITRATO DE ISOSORBIDE;ORAL
11700-5;AZITROMICINA TABLETAS RECUBIERTAS X 500 MG;Uso institucional: Caja por 3 tabletas recubiertas en un blister PVCPVDCAluminio x 3 tableta recubierta;J01FA10;AZITROMICINA;INVIMA 2022M-003819-R3;AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA;ORAL
11849-1;ALERVIDEN TABLETAS;CAJA PLEGADIZA  POR 10 TABLETAS EN  BLISTER ALUMINIO MAS PVC TRANSPARENTE POR 10 TABLETAS;R06AE07;CETIRIZINA;INVIMA 2022M-004673-R3;CETIRIZINA DICLORHIDRATO;ORAL
11878-1;TIOPENTAL 1 G. I V , POLVO PARA SOLUCIoN  INYECTABLE.;CAJA X 10 FRASCOS. FRASCO  VIAL X 1 G.;N01AF03;TIOPENTAL;INVIMA 2021M-005982-R2;TIOPENTAL SODICO;INTRAVENOSA
13053-2;BROQUIFENOL;FRASCO DE VIDRIO aMBAR X 180 ML..;R05CA03;GUAIFENESINA;INVIMA M-005045;GUAYACOLATO DE GLICERILO;ORAL
14958-12;ALERCET CAPSULA;MUESTRA MEDICA CAJA POR 2 CaPSULAS BLANDAS EN BLISTER PVC TRANSPARENTEFOIL ALUMINIO POR 2 CaPSULAS;R06AE07;CETIRIZINA;INVIMA 2021M-002663-R3;CETIRIZINA DICLORHIDRATO;ORAL
14958-7;ALERCET CAPSULA;CAJA POR 500 CaPSULAS BLANDAS EN BLISTER PVCPVDC TRANSPARENTEFOIL ALUMINIO POR 10 CaPSULAS;R06AE07;CETIRIZINA;INVIMA 2021M-002663-R3;CETIRIZINA DICLORHIDRATO;ORAL
15131-1;BUDESODINA AEROSOL RONQUIAL;FRASCO POR 5 ML. (100 DOSIS).;R01AD05;BUDESONIDA;INVIMA M-005697;BUDESONIDA;INHALACION
15826-3;FILTROQUINONA  CREMA;CAJA CON TUBO COLAPSIBLE DE ALUMINIO POR 60G. IUM 2A1043151000102 ALCANFOR 3,5000 gHIDROQUINONA 2,0000 gMETOXIDIBENZOILOMETANO;D11AX11;HIDROQUINONA;INVIMA 2023M-007992-R3;3-(4-METIL BENCILIDEN) BORNANONA (EUSOLEX 6300) 4-T-BUTIL-4 METOXIDIBENZOILMETANO (EUSOLEX 9020) HIDROQUINONA;TOPICA  EXTERNA
16478-7;OMEPRAZOL 20 MG;CAJA X 14 CAPSULAS EN BLISTER ALUMINIO PVC- PVDC.;A02BC01;OMEPRAZOL;INVIMA 2020M-007243-R2;OMEPRAZOL PELLETS 8,5% (EQUIVALENTE A  DE OMEPRAZOL BASE);ORAL
16623-1;ACICLOVIR;CAJA X 25 TABLETAS EN BLISTER X 5 TABLETAS.;J05AB01;ACICLOVIR;INVIMA M-005682;ACICLOVIR;ORAL
17023-2;FASTUM GRAGEAS;CAJA X 20 TABLETAS;A03BB01;BUTILESCOPOLAMINA;INVIMA M-005091;HIOSCINA BUTILBROMURO;ORAL
17134-2;AMLODIPINO 5 MG;CAJA POR 300 TABLETAS EN BLISTER PVCALU POR 10 TABLETAS TROQUELADO PARA UNIDOSIS;C08CA01;AMLODIPINA;INVIMA 2015 M-002545-R2;AMLODIPINO BESILATO  EQUIVALENTE A AMLODIPINO   BASE;ORAL
17134-3;AMLODIPINO 5 MG;CAJA POR 500 TABLETAS EN BLISTER PVCALU X 10 TABLETAS TROQUELADO PARA UNIDOSIS;C08CA01;AMLODIPINA;INVIMA 2015 M-002545-R2;AMLODIPINO BESILATO  EQUIVALENTE A AMLODIPINO   BASE;ORAL
17137-11;AMLODIPINO 10 MG;CAJA POR 900 TABLETAS EN BLISTER PVCALUMINIO POR 10TABLETAS CU.;C08CA01;AMLODIPINA;INVIMA 2015 M- 002791-R2;AMLODIPINO BESILATO  EQUIVALENTE A  AMLODIPINO BASE;ORAL
17141-15;LOVASTATINA 20 MG;CAJA POR 900 TABLETAS EN BLISTER DE PVCPVDCALUMINIO;C10AA02;LOVASTATINA;INVIMA 2007 M- 006930 R1;LOVASTATINA;ORAL
17145-16;NAPROXENO  250 MG COMPRIMIDOS;CAJA POR 600 COMPRIMIDOS EN BLISTER PVC TRANSPARENTE  ALUMINIO POR 30 COMPRIMIDOS;M01AE02;NAPROXENO;INVIMA 2021M- 002839 -R3;NAPROXENO BASE;ORAL
17418-1;MULTIBIONTA JUNIOR TABLETAS EFERVESCENTES;TUBO POR 10 TABLETAS;A11AA03;MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES;INVIMA M-004774;ACIDO ASCORBICO ACIDO FOLICO CARBONATO DE CALCIO CARBONATO DE MAGNESIO BASICO LIGERO HIERRO (II) LACTATO PIRIDOXINA CLORHIDRATO RIBOFLAVINA FOSFATO SAL DISODICA DIHIDRATO TIAMINA NITRATO;ORAL
18933-6;ERITROMICINA TABLETAS RECUBIERTAS X 500 MG.;CAJA POR 10 TABLETAS RECUBIERTAS BLISTER PVCALUMINIO.;J01FA01;ERITROMICINA;INVIMA 2006M-002701 - R1;ERITROMICINA ESTEARATO USP 60%  (EQUIVALENTE A 500 MG DE ERITROMICINA BASE);ORAL
1919584831-1;FLURINEX 750 MG;FRASCO PEAD AMBAR X 60 ML,  CON CAJA PLEGADIZA;J01MA12;LEVOFLOXACINA;INVIMA 2006M-0005654;LEVOFLOXACINA HEMIHIDRATO, EQUIVALENTE A LEVOFLOXACINA;ORAL
19212-5;DIBETRIN  ECAR  INYECTABLE;AMPOLLA DE VIDRIO AMBAR POR 2 ML. PIROGRABADA. CAJA POR 100 AMPOLLAS.;A11DA01;TIAMINA (VIT B1);INVIMA 2006M-005786 R2;PIRIDOXINA CLORHIDRATO TIAMINA CLORHIDRATO;INTRAMUSCULAR
19388-3;K-TROL.;BOLSA DE 100 ML;B05XA01;POTASIO CLORURO;INVIMA 2006M-005606-R2;CLORURO DE POTASIO;INTRAVENOSA
19393-7;SEDIL 500 MG;FRASCO CON 10,89 GRAMOS DE POLVO PARA RECONSTITUIR A 30ML.;P01AB07;SECNIDAZOL;INVIMA 2005 M-002568 R-1;SECNIDAZOL;ORAL
19491-5;CODEIDOL;CAJA DE CARTON POR 100 TABLETAS EN BLISTER PVCALUMINIO POR 10 TABLETAS CADA BLISTER;N02AA59;CODEINA COMBINACIONES EXCL. SICOLEPTICOS;INVIMA M-006234;ACETAMINOFEN CODEINA FOSFATO;ORAL
19605-5;ALCOHOL ANTISEPTICO;FRASCO POR 400 ML..;D08AX08;ETANOL;INVIMA M-005954-R1;ALCOCHOL ETILICO AL 98;TOPICA  EXTERNA
19605-8;ALCOHOL ANTISEPTICO;FRASCO POR 720 ML..;D08AX08;ETANOL;INVIMA M-005954-R1;ALCOCHOL ETILICO AL 98;TOPICA  EXTERNA
19763-1;SYNOVULAR INYECTABLE;Caja por 1 Ampollas de vidrio tipo I por 1 mL pirograbada o con etiqueta en blister PVC IncoloroPapel termosellable mas jeringa;G03FA04;PROGESTERONA Y ESTROGENO;INVIMA  2021M-007700-R3;ALGESTONA ACETOFENIDO ESTRADIOL ENANTATO;INTRAMUSCULAR
19763-5;SYNOVULAR INYECTABLE;Caja por 24 ampollas de vidrio tipo I por 1 mL mas pirograbada o con etiqueta en blister PVCAluminio en estuche individual;G03FA04;PROGESTERONA Y ESTROGENO;INVIMA  2021M-007700-R3;ALGESTONA ACETOFENIDO ESTRADIOL ENANTATO;INTRAMUSCULAR
10123-3;CAPTOPREN TABLETAS 50 MG;BLISTER PVC  ALUMINIO POR 10 TABLETAS EN CAJA POR 300 TABLETAS;C09AA01;CAPTOPRIL;INVIMA 2005 M-002543-R1;CAPTOPRIL;ORAL
10327-3;ORAVAX (CLORPROMAZINA ITALMEX 25 MG);CAJA POR 20 TABLETAS.;N05AA01;CLORPROMAZINA;INVIMA M-006288;CLORPROMAZINA BASE;ORAL
104948-1;NIFEPIDINO 10 MG;CAJA X 100 CAPSULAS EN BLISTER DE ALUMINIOPVC;C08CA05;NIFEDIPINA;INVIMA M-005831;NIFEDIPINA;ORAL
106653-1;INDERM SOLUCION;FRASCO AMBAR CON CUENTA GOTAS DE POLIETILENO POR 50 ML.;D10AF02;ERITROMICINA;INVIMA M-007339;ERITROMICINA;TOPICA  EXTERNA
10815-3;FLUOXETINA 20 MG CaPSULAS;Caja por 20 Capsulas en Blister PVC Transparente  Aluminio por 10 Capsulas cada uno.;N06AB03;FLUOXETINA;INVIMA 2022M-005627-R3;FLUOXETINA CLORHIDRATO EQUIVALENTE A FLUOXETINA BASE;ORAL
10816-1;IBUPROFENO SUSPENSION 100 MG  5 ML.;FRASCO PET X 100 ML. CON TAPA PILFER PROFF EN CAJA INDIVIDUAL;M01AE01;IBUPROFENO;INVIMA 2018M-005761-R2;IBUPROFENO MICRONIZADO;ORAL
10816-2;IBUPROFENO SUSPENSION 100 MG  5 ML.;FRASCO PET X 120 ML. CON TAPA PILFER PROFF EN CAJA INDIVIDUAL;M01AE01;IBUPROFENO;INVIMA 2018M-005761-R2;IBUPROFENO MICRONIZADO;ORAL
108812-2;DEBRIDAT SUSPENSION;MUESTRA MEDICA: FRASCO DE VIDRIO aMBAR TIPO III, CON POLVO PARA RECONSTITUIR A 60 ML. CAJA POR 1 FRASCO.;A03AA05;TRIMEBUTINA;INVIMA 2005 M-008649-R2;TRIMEBUTINA BASE MICRONIZADA;ORAL
11417-8;HALOPERIDOL SOLUCIoN INYECTABLE 5 MGML;Muestra Medica : Caja de carton con  una ampolla de vidrio I color ambar x 1 mL en  nido de cartulina;N05AD01;HALOPERIDOL;INVIMA 2016M-003436-R2;HALOPERIDOL;INTRAMUSCULAR
11425-2;ACIDO ACETIL SALICILICO 100 MG TABLETAS;CAJA POR 1000 TABLETAS;N02BA01;ACETILSALICILICO ACIDO;invima m-005948;ACIDO ACETIL SALICILICO;ORAL
11698-1;KETOPROFENO SUPOSITORIOS 100 MG;CAJA POR 10 SUPOSITORIOS EN FOIL DE ALUMINIO;M02AA10;KETOPROFENO;INVIMA M-005483;KETOPROFENO;RECTAL
11701-2;AZITROMICINA POLVO PARA SUSPENSION 200 MG 5ML.;FRASCO PLASTICO IMPRESO MAS TAPA PLASTICA PIGMENTADA BLANCA POR 22,5 ML., TAPON  ROCIADOR N 20, CON JERINGA DOSIFICADORA;J01FA10;AZITROMICINA;INVIMA 2022M-002521-R3;AZITROMICINA DIHIDRATO EQUIVALENTE A  AZITROMICINA*(*PUEDE VARIAR DE ACUERDO A LA POTENCIA DEL ACTIVO);ORAL
12774-3;IBUPROFENO TABLETAS 400 MG;CAJA X 300 TABLETAS EN BLISTER DE ALUMINIOPVC. PARA USO INSTITUCIONAL.;M01AE01;IBUPROFENO;INVIMA M- 005169;IBUPROFENO;ORAL
12888-4;SALBUTAMOL JARABE;FRASCO X 100 ML.;R03AC02;SALBUTAMOL;INVIMA 2016M-002688-R2;SALBUTAMOL SULFATO 0,048 G EQUIVALENTE A SALBUTAMOL BASE;ORAL
13358-1;VENOFER INYECTABLE.;MUESTRA MeDICA DE AMPOLLA DE VIDRIO TIPO I, INCOLORA DE 5 ML., EN CAJA POR 1 AMPOLLA.;B03AC02;HIERRO OXIDO SACARATADO;INVIMA 2018M-006989-R2;HIERRO COMO (HIERRO SACARATO (HIERRO III-COMPLEJO DE HIDROXIDO SUCROSA);INTRAVENOSA
14958-13;ALERCET CAPSULA;CAJA POR 10 CaPSULAS BLANDAS EN BLISTER PVC TRANSPARENTEFOIL ALUMINIO POR 10 CaPSULAS;R06AE07;CETIRIZINA;INVIMA 2021M-002663-R3;CETIRIZINA DICLORHIDRATO;ORAL
